by,location,备注
By.XPATH,//div[@class='body']/div/div/div[1]/span,“数据看板”标题
By.XPATH,//div[@class='body']/div/div/div[2]/span,“客户管理”标题
By.XPATH,//div[@class='left-menu-mainSon'][1]/div[1]/span,“客户列表”标题
By.XPATH,//div[@class='left-menu-mainSon'][1]/div[2]/span,“标签管理”标题
By.XPATH,//div[@class='left-menu-mainSon'][1]/div[3]/span,“客户清洗”标题
By.XPATH,//div[@class='body']/div/div/div[4]/span,“客群洞察”标题
By.XPATH,//div[@class='left-menu-mainSon'][2]/div/span,“客群管理”标题
By.ID,myFrame,“获取iframe”窗口
By.XPATH,//body/div[@class='main_cont']/div/div/a,“标题”文本
By.XPATH,//div[@class='DmpFine-box-title']/div[1],“数据更新时间”文本
By.ID,count-number,“客户总数”数量文本
By.XPATH,//div[@id='float-data']/div[1]/div[2]/div[2],“客户总数”标题文本
By.ID,count-number2,“客群总数”数量文本
By.XPATH,//div[@id='float-data']/div[2]/div[2]/div[2],“客群总数”标题文本
By.ID,count-number3,“推送总数”数量文本
By.XPATH,//div[@id='float-data']/div[3]/div[2]/div[1],“推送总数”标题文本
By.XPATH,//div[@class='DmpFine-mainBox']/div/div[2]/div[1]/div/div,“客户分析”标题文本
By.XPATH,//div[@class='DmpFine-mainBox']/div/div[2]/div[2]/span,“客户构成”标题文本
By.XPATH,//div[@id='eacharttab1']/div[2],“数据来源”标题文本
By.XPATH,//div[@id='eacharttab2']/div[2],“客户状态”标题文本
By.XPATH,//div[@id='eacharttab3']/div[2],“客户属性”标题文本
By.XPATH,//div[@class='DmpFine-mainBox']/div/div[2]/div[4]/span,“客户数据趋势”标题文本
By.XPATH,//div[@class='DmpFine-mainBox']/div/div[3]/div[1]/div/div,“客群分析”标题文本
By.XPATH,//div[@class='DmpFine-mainBox']/div/div[4]/div[1]/div/div,“推送分析”标题文本
By.XPATH,//div[@class='DmpFine-title']/div[1]/a[3],“客户列表”页面标题
